Cell_ID,Visit_Count,Utilisation
0,53,0.0053
1,0,0.0
2,0,0.0
3,136,0.0136
4,32,0.0032
5,7,0.0007
6,5,0.0005
7,0,0.0
8,0,0.0
9,57,0.0057
10,123,0.0123
11,0,0.0
12,194,0.0194
13,115,0.0115
14,229,0.0229
15,115,0.0115
16,9,0.0009
17,363,0.0363
18,0,0.0
19,22,0.0022
20,67,0.0067
21,53,0.0053
22,0,0.0
23,0,0.0
24,15,0.0015
25,55,0.0055
26,8,0.0008
27,171,0.0171
28,237,0.0237
29,186,0.0186
30,0,0.0
31,0,0.0
32,78,0.0078
33,0,0.0
34,0,0.0
35,0,0.0
36,0,0.0
37,71,0.0071
38,0,0.0
39,41,0.0041
40,97,0.0097
41,41,0.0041
42,8,0.0008
43,16,0.0016
44,129,0.0129
45,0,0.0
46,0,0.0
47,0,0.0
48,0,0.0
49,2,0.0002
50,0,0.0
51,91,0.0091
52,185,0.0185
53,0,0.0
54,58,0.0058
55,0,0.0
56,129,0.0129
