Route_ID,Throughput_Baseline_Mbps,Throughput_AI_Mbps,Throughput_Improvement_Percent,SINR_Mean_Baseline_dB,SINR_Mean_AI_dB,SINR_Improvement_dB
1,135.3763440860215,109.78494623655914,-18.90389197776013,7.346537684382443,1.4161757922645184,-5.930361892117924
2,129.00826446280993,105.86776859504133,-17.937219730941713,4.867465703084722,1.0309576706515435,-3.8365080324331786
11,134.53333333333333,97.33333333333333,-27.65113974231913,6.785187944096227,2.4616719577119786,-4.323515986384248
12,125.08474576271186,111.01694915254237,-11.246612466124665,1.0229897005936044,2.1778023253574417,1.1548126247638373
13,126.17977528089887,111.46067415730337,-11.665182546749769,3.633815418183739,2.261835886984036,-1.371979531199703
14,127.14285714285715,78.57142857142857,-38.20224719101124,2.9773360271046574,-1.8083160243600442,-4.785652051464702
15,135.3731343283582,105.74626865671642,-21.88533627342887,6.812678997908976,2.1359780628270912,-4.676700935081884
16,124.26829268292683,104.51219512195122,-15.897939156035324,2.316331824969528,0.5944894680048118,-1.7218423569647163
17,126.45569620253166,105.18987341772153,-16.816816816816814,3.5472912917715114,0.9827152406298305,-2.564576051141681
18,127.36842105263158,102.36842105263158,-19.62809917355372,7.874266250722127,1.3690779085237856,-6.505188342198341
19,130.86666666666667,115.4,-11.818644931227713,5.855040742385249,4.481153940469976,-1.3738868019152735
20,128.81889763779526,116.53543307086613,-9.535452322738381,4.07474031519447,1.2948664592250814,-2.7798738559693885
3,120.49504950495049,112.47524752475246,-6.655710764174204,2.0768612001571496,2.0278621004002857,-0.048999099756863895
21,133.63636363636365,102.36363636363636,-23.4013605442177,7.242822575511113,3.924984851529946,-3.317837723981167
22,131.5533980582524,110.09708737864077,-16.309963099630995,3.2205367613527525,3.220467480919963,-6.928043278930929e-05
23,129.15662650602408,107.95180722891565,-16.41791044776119,3.36533179144554,0.2059652568769852,-3.159366534568555
24,133.00653594771242,103.33333333333333,-22.309582309582314,4.496209828267072,1.0842341366339279,-3.4119756916331445
25,133.57142857142856,98.21428571428572,-26.4705882352941,4.687310261139857,1.1883079918154682,-3.4990022693243894
26,130.78947368421052,89.21052631578948,-31.790744466800795,5.936711965159193,-1.5880836410889898,-7.524795606248183
27,120.5,108.75,-9.751037344398341,1.1006444019960728,1.3960030671947237,0.29535866519865084
28,123.6,77.0,-37.702265372168284,5.04113499605838,-2.012705642963491,-7.053840639021871
29,117.26027397260275,93.56164383561644,-20.210280373831782,3.453462363042529,-1.754700826259022,-5.208163189301551
30,123.68932038834951,113.49514563106796,-8.241758241758246,4.34678937092154,5.732751353197172,1.3859619822756324
4,125.14851485148515,88.21782178217822,-29.509493670886073,0.257527278811048,-2.444248297875154,-2.701775576686202
31,128.43373493975903,94.57831325301204,-26.360225140712952,6.31963368434314,0.5988141058535009,-5.720819578489639
32,131.84615384615384,108.3076923076923,-17.85297549591598,4.825110137157338,2.1641096009177048,-2.6610005362396336
33,130.0,92.77777777777777,-28.632478632478637,3.514033817500246,-0.12904882277141383,-3.64308264027166
34,130.86956521739128,101.08695652173913,-22.75747508305647,5.993650958618426,2.1596554464390496,-3.8339955121793765
35,136.46153846153845,115.23076923076923,-15.558060879368657,6.051786014177915,5.595130302324591,-0.45665571185332343
36,130.98591549295773,102.67605633802816,-21.61290322580645,5.135049605258619,1.7098886890358524,-3.425160916222766
37,125.38461538461539,80.1923076923077,-36.04294478527608,2.908549050627197,-0.611475955826871,-3.520025006454068
38,128.56,107.12,-16.67703795892968,3.9672125904458047,1.9461852750285598,-2.021027315417245
39,131.94630872483222,113.02013422818791,-14.343845371312316,6.330245388998083,4.2883096669894245,-2.0419357220086587
40,126.74698795180723,96.02409638554217,-24.239543726235745,5.789089735689334,2.203978054659201,-3.585111681030133
5,126.91358024691358,107.1604938271605,-15.564202334630354,3.7649751409898853,3.6734102233157935,-0.0915649176740918
41,133.29268292682926,120.0,-9.97255260750228,3.6735810051125792,4.350413091935414,0.6768320868228344
42,129.48051948051946,108.96103896103897,-15.847542627883634,6.852615736584771,3.7280601322634754,-3.1245556043212956
43,129.04761904761904,116.47619047619048,-9.741697416974159,4.929544330803632,5.108825932565137,0.1792816017615042
44,132.27272727272725,120.75757575757575,-8.70561282932416,8.277750304859028,8.020942153977643,-0.2568081508813851
45,132.53731343283582,107.46268656716418,-18.918918918918912,5.496177320066389,0.853223751246261,-4.642953568820127
46,121.60919540229885,105.51724137931033,-13.232514177693771,2.202114802052598,-0.6056068910340421,-2.80772169308664
47,121.6470588235294,93.52941176470588,-23.114119922630554,3.6187595986478636,0.857577445185724,-2.7611821534621397
48,122.95454545454545,105.45454545454545,-14.232902033271719,0.8084561213223107,0.4417150544927356,-0.3667410668295751
49,122.42857142857143,88.42857142857143,-27.771295215869312,1.4017756966806918,-4.167328024866029,-5.56910372154672
50,132.8735632183908,101.37931034482759,-23.702422145328725,6.724894278034862,2.5420476993795456,-4.182846578655316
6,134.21052631578948,107.10526315789473,-20.19607843137256,6.783487786543324,2.7133511353140993,-4.070136651229225
51,129.85915492957747,104.22535211267605,-19.739696312364437,3.0613205198878606,-0.22462818417038843,-3.285948704058249
52,126.20253164556962,88.73417721518987,-29.689067201604814,4.809851073732925,-0.6485567297372187,-5.458407803470143
53,132.47524752475246,111.08910891089108,-16.143497757847527,9.235149700877132,4.006333782598112,-5.22881591827902
54,129.52380952380952,116.54761904761905,-10.01838235294117,7.7725502726914515,5.762750368462436,-2.0097999042290153
