UE_ID,Speed_kmh,TP_Base_Mbps,TP_AI_Mbps,HO_Base,HO_AI,HOF_Base,HOF_AI,RLF_Base,RLF_AI,Eff_Base,Eff_AI
1,723.4348748097693,36.285714285714285,46.85714285714286,0,3,0,0,6,2,36.285714285714285,11.714285714285715
2,605.5437347004129,33.97260273972603,55.89041095890411,0,4,0,0,3,0,33.97260273972603,11.178082191780822
3,765.6258682125616,37.567567567567565,47.027027027027025,0,3,0,0,4,3,37.567567567567565,11.756756756756756
4,772.6603906962166,46.470588235294116,49.70588235294118,0,2,0,0,3,1,46.470588235294116,16.568627450980394
5,697.3009957881953,30.32258064516129,40.96774193548387,0,3,0,0,3,0,30.32258064516129,10.241935483870968
6,650.8734386673392,39.45945945945946,64.86486486486487,0,3,0,0,4,0,39.45945945945946,16.216216216216218
7,720.5535386879326,31.612903225806452,41.93548387096774,0,3,0,0,5,2,31.612903225806452,10.483870967741934
8,578.5463902727598,36.206896551724135,52.41379310344828,0,5,0,0,5,2,36.206896551724135,8.735632183908047
9,683.8830133345168,27.956989247311828,39.13978494623656,0,5,0,0,4,0,27.956989247311828,6.523297491039426
10,622.4194973939624,28.38095238095238,43.42857142857142,0,5,0,0,7,2,28.38095238095238,7.238095238095237
11,986.9328884446372,19.6,43.2,0,3,0,0,2,0,19.6,10.8
12,671.1953269852206,44.8062015503876,44.49612403100775,0,7,0,0,5,4,44.8062015503876,5.562015503875969
13,921.8286224692581,21.584158415841582,37.02970297029703,1,6,0,0,6,4,10.792079207920791,5.28995756718529
14,845.0891535905414,52.36363636363637,66.18181818181817,0,3,0,0,3,1,52.36363636363637,16.545454545454543
15,850.373396874857,45.38461538461539,57.69230769230769,0,2,0,0,3,1,45.38461538461539,19.23076923076923
16,465.72755904341415,35.4954954954955,38.01801801801801,0,5,0,0,4,1,35.4954954954955,6.336336336336335
17,622.9787407166436,38.55072463768116,49.56521739130435,0,3,0,0,3,1,38.55072463768116,12.391304347826088
18,701.2011119150932,44.096385542168676,58.31325301204819,0,5,0,0,5,3,44.096385542168676,9.718875502008032
19,787.2640543705878,29.18918918918919,25.675675675675674,0,4,0,0,5,2,29.18918918918919,5.135135135135135
20,672.1189109794616,23.46666666666667,54.4,0,4,0,0,4,0,23.46666666666667,10.879999999999999
21,676.3856935345524,34.95495495495495,38.01801801801801,0,5,0,0,5,4,34.95495495495495,6.336336336336335
22,693.7675953726873,37.47572815533981,60.97087378640777,0,6,0,0,5,2,37.47572815533981,8.710124826629682
23,738.4922616066201,26.181818181818183,23.636363636363637,0,3,0,0,4,3,26.181818181818183,5.909090909090909
24,947.8600135935395,49.23076923076923,64.61538461538461,0,2,0,0,2,1,49.23076923076923,21.538461538461537
25,635.7695209886008,37.01492537313433,32.83582089552239,0,3,0,0,2,3,37.01492537313433,8.208955223880597
26,500.45075783434476,28.0,40.8,0,5,0,0,3,1,28.0,6.8
27,884.5436414646292,32.436974789915965,39.49579831932773,0,6,0,0,8,3,32.436974789915965,5.642256902761105
28,937.8618292855559,25.97701149425287,41.60919540229885,0,5,0,0,5,2,25.97701149425287,6.934865900383142
29,626.2557681329655,19.770114942528735,29.885057471264368,0,5,0,0,4,2,19.770114942528735,4.980842911877395
30,691.0423454983902,32.909090909090914,41.63636363636363,0,5,0,0,4,3,32.909090909090914,6.939393939393939
